IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
84.8.146.208,443,443,true,FRA,Europe,Frankfurt,196,9.39
140.238.59.255,2052,2052,false,NRT,Asia Pacific,Tokyo,71,9.39
140.238.54.166,2053,2053,true,NRT,Asia Pacific,Tokyo,77,9.39
138.3.217.39,8080,8080,false,NRT,Asia Pacific,Tokyo,70,9.38
140.238.61.224,2052,2052,false,NRT,Asia Pacific,Tokyo,71,9.38
132.226.5.102,2086,2086,false,NRT,Asia Pacific,Tokyo,69,9.38
158.179.178.145,80,80,false,NRT,Asia Pacific,Tokyo,69,9.38
168.138.202.203,2096,2096,true,NRT,Asia Pacific,Tokyo,111,9.37
132.145.120.182,2052,2052,false,NRT,Asia Pacific,Tokyo,73,9.37
158.179.178.145,2086,2086,false,NRT,Asia Pacific,Tokyo,71,9.36
141.147.189.242,2083,2083,true,NRT,Asia Pacific,Tokyo,100,9.36
158.179.188.175,8080,8080,false,NRT,Asia Pacific,Tokyo,70,9.35
131.186.63.127,2083,2083,true,NRT,Asia Pacific,Tokyo,70,9.35
138.3.212.162,2086,2086,false,NRT,Asia Pacific,Tokyo,69,9.35
168.138.200.159,2087,2087,true,NRT,Asia Pacific,Tokyo,100,9.34
150.230.101.125,8080,8080,false,NRT,Asia Pacific,Tokyo,71,9.33
158.179.188.175,80,80,false,NRT,Asia Pacific,Tokyo,71,9.33
168.138.217.146,8080,8080,false,NRT,Asia Pacific,Tokyo,71,9.33
138.3.212.226,2095,2095,false,NRT,Asia Pacific,Tokyo,72,9.32
131.186.59.94,8880,8880,false,NRT,Asia Pacific,Tokyo,71,9.32
132.145.114.250,80,80,false,NRT,Asia Pacific,Tokyo,70,9.32
132.145.121.242,8880,8880,false,HKG,Asia Pacific,Hong Kong,127,9.31
168.138.197.222,2096,2096,true,NRT,Asia Pacific,Tokyo,70,9.31
138.3.218.160,8080,8080,false,NRT,Asia Pacific,Tokyo,72,9.31
143.47.227.86,443,443,true,FRA,Europe,Frankfurt,202,9.30
138.3.218.160,2082,2082,false,NRT,Asia Pacific,Tokyo,71,9.30
131.186.45.88,2087,2087,true,NRT,Asia Pacific,Tokyo,134,9.30
131.186.59.232,8080,8080,false,HKG,Asia Pacific,Hong Kong,129,9.30
140.238.48.45,2086,2086,false,NRT,Asia Pacific,Tokyo,68,9.30
158.101.131.218,2086,2086,false,NRT,Asia Pacific,Tokyo,70,9.29
143.47.224.20,443,443,true,FRA,Europe,Frankfurt,206,9.29
158.101.139.42,2096,2096,true,NRT,Asia Pacific,Tokyo,159,9.28
131.186.47.223,2096,2096,true,NRT,Asia Pacific,Tokyo,82,9.28
168.138.211.131,8880,8880,false,NRT,Asia Pacific,Tokyo,72,9.28
141.147.189.242,2096,2096,true,NRT,Asia Pacific,Tokyo,264,9.28
158.101.136.239,2096,2096,true,NRT,Asia Pacific,Tokyo,169,9.28
141.144.196.23,443,443,true,CDG,Europe,Paris,181,9.28
141.147.160.221,2095,2095,false,NRT,Asia Pacific,Tokyo,69,9.28
131.186.37.69,8080,8080,false,NRT,Asia Pacific,Tokyo,73,9.27
129.146.74.21,2096,2096,true,LAX,North America,Los Angeles,188,9.27
131.186.47.223,8080,8080,false,NRT,Asia Pacific,Tokyo,72,9.27
140.238.39.33,8080,8080,false,NRT,Asia Pacific,Tokyo,71,9.27
140.238.41.253,2083,2083,true,NRT,Asia Pacific,Tokyo,82,9.27
168.138.202.203,8880,8880,false,NRT,Asia Pacific,Tokyo,70,9.27
141.147.167.40,2052,2052,false,NRT,Asia Pacific,Tokyo,70,9.26
146.235.210.182,8443,443,true,SJC,North America,San Jose,191,9.26
168.138.194.121,8443,8443,true,NRT,Asia Pacific,Tokyo,72,9.26
141.147.189.242,2086,2086,false,NRT,Asia Pacific,Tokyo,70,9.26
141.147.160.86,2095,2095,false,NRT,Asia Pacific,Tokyo,75,9.26
158.101.159.212,2087,2087,true,NRT,Asia Pacific,Tokyo,140,9.26
140.238.36.248,8880,8880,false,NRT,Asia Pacific,Tokyo,77,9.26
132.145.120.118,2087,2087,true,NRT,Asia Pacific,Tokyo,74,9.25
84.8.159.52,443,443,true,FRA,Europe,Frankfurt,194,9.25
158.101.149.122,2053,2053,true,NRT,Asia Pacific,Tokyo,189,9.25
131.186.41.82,2087,2087,true,NRT,Asia Pacific,Tokyo,132,9.25
158.101.137.74,2096,2096,true,NRT,Asia Pacific,Tokyo,161,9.24
140.238.54.164,8080,8080,false,NRT,Asia Pacific,Tokyo,69,9.24
141.147.165.179,2095,2095,false,NRT,Asia Pacific,Tokyo,81,9.24
141.147.181.242,80,80,false,NRT,Asia Pacific,Tokyo,72,9.24
168.138.192.185,2083,2083,true,NRT,Asia Pacific,Tokyo,105,9.23
143.47.247.53,443,443,true,FRA,Europe,Frankfurt,178,9.23
132.145.123.159,2082,2082,false,NRT,Asia Pacific,Tokyo,69,9.23
158.101.133.129,8080,8080,false,NRT,Asia Pacific,Tokyo,70,9.22
158.101.146.160,2095,2095,false,NRT,Asia Pacific,Tokyo,93,9.22
158.179.180.233,2083,2083,true,NRT,Asia Pacific,Tokyo,156,9.22
